metodo,w1,w2,w3,w4,FO1_kUSD,FO2_tCO2,FO3_emp,FO4_pct,FO1_norm,FO2_norm,FO3_norm,FO4_norm,dist_utopico,n_tec,tec_list,fo_principal
eps_FO2,0.0,0.0,0.0,0.0,203266.34,3830.312,12069.965,94.42,0.5,0.2453,0.5,0.0,0.7485,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",2.0
eps_FO2,0.0,0.0,0.0,0.0,279899.52,16922.348,9239.53,80.1,0.25,0.3869,0.6896,0.0,0.8293,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",2.0
eps_FO2,0.0,0.0,0.0,0.0,279899.52,24788.658,12069.965,91.4,0.25,0.4719,0.5,0.0,0.7316,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",2.0
eps_FO2,0.0,0.0,0.0,0.0,294724.53,38882.699,15801.397,100.0,0.2016,0.6243,0.25,0.0,0.7021,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",2.0
eps_FO3,0.0,0.0,0.0,0.0,126633.17,44680.996,15962.811,100.0,0.75,0.687,0.2392,0.0,1.0448,6,"['molienda', 'secado', 'compostaje', 'fermentacion', 'extraccion_solventes', 'carbonizacion']",3.0
eps_FO3,0.0,0.0,0.0,0.0,126633.17,13539.104,15172.573,100.0,0.75,0.3503,0.2921,0.0,0.8778,6,"['molienda', 'secado', 'compostaje', 'hidrolisis_enzimatica', 'pirolisis', 'carbonizacion']",3.0
eps_FO3,0.0,0.0,0.0,0.0,126633.17,4262.146,13638.246,99.43,0.75,0.25,0.3949,0.0,0.8837,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",3.0
eps_FO3,0.0,0.0,0.0,0.0,203266.34,27385.298,15135.385,100.0,0.5,0.5,0.2946,0.0,0.766,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",3.0
eps_FO3,0.0,0.0,0.0,0.0,203266.34,4262.146,12219.709,94.99,0.5,0.25,0.49,0.0,0.7433,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'pirolisis', 'carbonizacion']",3.0
eps_FO3,0.0,0.0,0.0,0.0,313113.28,40462.983,15916.327,100.0,0.1416,0.6414,0.2423,0.0,0.7001,6,"['molienda', 'secado', 'compostaje', 'extraccion_solventes', 'hidrolisis_enzimatica', 'carbonizacion']",3.0
