mes,Q_gen,Q_total,Q_recoleccion,eta_cadena,bio_hojas,bio_cormo,bio_flores_c,bio_campo_tot,bio_raquis,bio_bracteas,bio_flores_e,bio_manos,costo_log,GEI_total,fertilidad,superficie,residuos_campo,alpha_red,perdida_red,G_max_din,bio_total_verificado
25,100262.0913,73507.2305,0.4200,0.4200,10740.4490,5370.2245,1611.0673,92904.8837,2416.6010,859.2359,537.0224,3544.3482,0,7414.4844,0.4756,34905.9411,175017.2155,0.7332,26754.8608,3122.0455,25078.9484
26,100543.3317,73718.1875,0.4200,0.4200,10770.5765,5385.2883,1615.5865,93165.4868,2423.3797,861.6461,538.5288,3554.2902,0,7435.2875,0.4746,35011.2950,175519.4940,0.7332,26825.1442,3126.8014,25149.2961
27,100821.5848,73927.0199,0.4200,0.4200,10800.3840,5400.1920,1620.0576,93423.3217,2430.0864,864.0307,540.0192,3564.1267,0,7455.8698,0.4737,35115.6382,176016.7141,0.7332,26894.5649,3131.5478,25218.8967
28,101096.7884,74133.6842,0.4200,0.4200,10829.8648,5414.9324,1624.4797,93678.3309,2436.7196,866.3892,541.4932,3573.8554,0,7476.2266,0.4727,35218.9484,176508.7719,0.7333,26963.1042,3136.2847,25287.7344
29,101368.8785,74338.1353,0.4200,0.4200,10859.0122,5429.5061,1628.8518,93930.4551,2443.2777,868.7210,542.9506,3583.4740,0,7496.3533,0.4718,35321.2025,176995.5603,0.7333,27030.7431,3141.0121,25355.7934
30,101637.7893,74540.3271,0.4200,0.4200,10887.8189,5443.9094,1633.1728,94179.6333,2449.7592,871.0255,544.3909,3592.9802,0,7516.2449,0.4709,35422.3769,177476.9694,0.7334,27097.4621,3145.7301,25423.0571
31,101903.4530,74740.2122,0.4200,0.4200,10916.2778,5458.1389,1637.4417,94425.8027,2456.1625,873.3022,545.8139,3602.3717,0,7535.8965,0.4699,35522.4471,177952.8861,0.7334,27163.2408,3150.4387,25489.5086
32,102165.7998,74937.7415,0.4200,0.4200,10944.3813,5472.1907,1641.6572,94668.8986,2462.4858,875.5505,547.2191,3611.6458,0,7555.3029,0.4690,35621.3880,178423.1940,0.7335,27228.0583,3155.1378,25555.1304
33,102424.7578,75132.8647,0.4200,0.4200,10972.1219,5486.0609,1645.8183,94908.8543,2468.7274,877.7698,548.6061,3620.8002,0,7574.4587,0.4680,35719.1736,178887.7732,0.7335,27291.8930,3159.8275,25619.9046
34,102680.2529,75325.5301,0.4200,0.4200,10999.4915,5499.7457,1649.9237,95145.6012,2474.8856,879.9593,549.9746,3629.8322,0,7593.3586,0.4671,35815.7774,179346.5002,0.7336,27354.7228,3164.5078,25683.8126
35,102932.2088,75515.6841,0.4200,0.4200,11026.4819,5513.2410,1653.9723,95379.0687,2480.9584,882.1186,551.3241,3638.7390,0,7611.9968,0.4662,35911.1719,179799.2480,0.7336,27416.5247,3169.1788,25746.8353
36,103180.5472,75703.2719,0.4200,0.4200,11053.0849,5526.5424,1657.9627,95609.1841,2486.9441,884.2468,552.6542,3647.5180,0,7630.3676,0.4652,36005.3289,180245.8854,0.7337,27477.2753,3173.8405,25808.9532
37,103425.1873,75888.2367,0.4200,0.4200,11079.2916,5539.6458,1661.8937,95835.8725,2492.8406,886.3433,553.9646,3656.1662,0,7648.4650,0.4643,36098.2194,180686.2779,0.7338,27536.9506,3178.4928,25870.1459
38,103666.0463,76070.5205,0.4200,0.4200,11105.0933,5552.5467,1665.7640,96059.0574,2498.6460,888.4075,555.2547,3664.6808,0,7666.2829,0.4634,36189.8135,181120.2868,0.7338,27595.5259,3183.1358,25930.3930
39,103903.0394,76250.0633,0.4200,0.4200,11130.4809,5565.2405,1669.5721,96278.6599,2504.3582,890.4385,556.5240,3673.0587,0,7683.8150,0.4624,36280.0807,181547.7697,0.7339,27652.9761,3187.7695,25989.6729
40,104136.0794,76426.8037,0.4200,0.4200,11155.4450,5577.7225,1673.3168,96494.5995,2509.9751,892.4356,557.7723,3681.2969,0,7701.0548,0.4615,36368.9897,181968.5803,0.7339,27709.2756,3192.3940,26047.9641
41,104365.0775,76600.6789,0.4200,0.4200,11179.9762,5589.9881,1676.9964,96706.7938,2515.4946,894.3981,558.9988,3689.3921,0,7717.9959,0.4606,36456.5086,182382.5689,0.7340,27764.3986,3197.0092,26105.2443
42,104589.9432,76771.6245,0.4200,0.4200,11204.0646,5602.0323,1680.6097,96915.1589,2520.9145,896.3252,560.2032,3697.3413,0,7734.6314,0.4597,36542.6048,182789.5821,0.7340,27818.3187,3201.6152,26161.4909
43,104810.5843,76939.5747,0.4200,0.4200,11227.7005,5613.8503,1684.1551,97119.6095,2526.2326,898.2160,561.3850,3705.1412,0,7750.9547,0.4588,36627.2450,183189.4635,0.7341,27871.0096,3206.2120,26216.6807
44,105026.9076,77104.4625,0.4200,0.4200,11250.8739,5625.4369,1687.6311,97320.0590,2531.4466,900.0699,562.5437,3712.7884,0,7766.9588,0.4578,36710.3959,183582.0536,0.7341,27922.4451,3210.7995,26270.7905
